,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
13,1,standard expected,peter dyson,unknown,2024-01-27,firstly must state three leg journey penang back birmingham excellent 23 september boarded flight penang doha short hop penang phuket crew good special note melissa friendly engaging attentive credit qatar airway however everything changed new crew embarked phuket sullen unsmiling outset service abysmal tablecloth given serviette getting glass wine water like getting blood stone distribution food chaotic sure fault cabin manager individual flight attendant disagreement among crew whatever standard expected business class qatar shortly landing cabin manager round stated unhappy serviceabout 10 minute later returned asked information qatar airway read comment hope investigate matter blotch otherwise excellent service provided aircrew,,business class,BOEING 777,True,PEN,DOH,1,0,
14,1,bag didnt came time,dipal patel,united states,2024-01-26,recent flight qatar airway ahmedabad detroit 25th january stop doha chicago flight ahmedabad doha scheduled time reached doha hia airport staff told u next flight doha chicago overbooked cannot board u waiting almost 1 hour saying figuring option done time gave u option flight jfk 24 hour waited 26th january doha airport reaching jfk told connecting flight detroit another airport la guardia transferred la guardia airport went detroit total 47 hour flight airport bag didnt came time either,Family Leisure,economy class,,False,AMD,DTW,1,1,2024
15,2,covered canopy stair,p craig,australia,2024-01-25,unknown,,economy class,,True,TBS,DOH,0,12,2023
16,0,unknown,karen chan,unknown,2024-01-22,first time travelling long distance qatar airway 17hr flight cabin wellmaintained clean spacious 9001000 series leg space ample seat space great cabin crew friendly professional among 1 steward went extra mile make journey extra special seems like junior one confident helpful traveling broken foot assisted hand carry bag till point left cabin taken ground staff every crew job made extra effort help passenger thank kindness,,economy class,A350-900,True,MAD,SIN,1,1,2024
16,0,unknown,karen chan,unknown,2024-01-22,first time travelling long distance qatar airway 17hr flight cabin wellmaintained clean spacious 9001000 series leg space ample seat space great cabin crew friendly professional among 1 steward went extra mile make journey extra special seems like junior one confident helpful traveling broken foot assisted hand carry bag till point left cabin taken ground staff every crew job made extra effort help passenger thank kindness,,economy class,1000,True,MAD,SIN,1,1,2024
17,10,genuine warmth hospitality,david owen,unknown,2024-01-18,flown qatar economy business first class fly two three time year recently privilege experiencing epitome airborne luxury aboard world best airline must say exceptional service provided cabin crew left indelible mark travel experience moment stepped board final descent every aspect journey testament dedication professionalism airline remarkable cabin crew beyond technical aspect service truly set airline cabin crew apart genuine warmth hospitality evident enjoyed work took pride creating positive enjoyable atmosphere passenger whether friendly conversation reassuring smile going extra mile accommodate special request cabin crew consistently exceeded expectation conclusion world best airline undoubtedly boast world best cabin crew commitment excellence attention detail genuine hospitality set standard airline would well emulate traveling airline journey unforgettable experience leaf passenger feeling pampered valued eager embark next adventure finest cabin crew sky,,first class,A380,True,LON,PER,1,0,
18,8,unknown,g meares,unknown,2024-01-17,unknown,,economy class,,Unknown,NAN,NAN,0,0,
19,1,lack empathy,unknown,united kingdom,2024-01-15,upon arriving doha 30minute bus ride plane terminal interminable wait security caused miss connecting flight followed horrendous 18hour layover denied accommodation food assistance transfer desk response hotel available discovered available room nearby hotel costing 300 level service beyond comprehension qatar airway left cold expense never incurred extensive travel never encountered incompetence lack empathy,Business,economy class,,True,NAN,NAN,0,1,2024
20,1,offered ridiculous compensation,qarani,united kingdom,,following downgrade flight bali london business seat first economy seat without power possibility move qatar airway offered ridiculous compensation 10k avios worth 100 alternative business flight offered compensation insult given price ticket,Business,nan,,True,DPS,LON,1,1,2024
21,10,flawless onboard service,unknown,iceland,2024-01-13,unknown,Couple Leisure,business class,BOEING 787-8,Unknown,DOH,GOI,0,0,
