,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
774,9,finest onboard business class product,rajan parrikar,iceland,2019-12-20,copenhagen mumbai via doha cphdoh leg older business class layout dohbom qsuites qsuites outstanding think something recommend older layout feel open spacious inflight service leg superb qatar paid wifi also work well al mourjan lounge doh get crowded occasion hit less busy hour qatar offer probably finest onboard business class product today company work regard customer service support outside aircraft,Couple Leisure,business class,BOEING 777-300ER,True,CPH,BOM,1,12,2019
775,0,luggage arrive,unknown,unknown,2019-12-19,flight johannesburg doha september delayed arrival flight antalya left qatar airway put u family 4 another flight via istanbul connecting antalya difficult tiring trip luggage arrive requested luggage tag proof bag loaded new flight qatar unable provide proof made several attempt qatar airline compensate u delayed luggage cost avail return business class flight johannesburg delayed boarding flight passenger asked disembark country manager south africa really helpful attempt arrange face face meeting failed,,economy class,,True,JNB,AYT,1,0,
776,9,staff well trained friendly,unknown,australia,2019-12-18,melbourne sofia via doha holiday actually involved 4 flight qatar airway excellent takeoff landing flight smooth ran time boarding procedure efficient disembarkation staff well trained friendly never getting impatient passenger demand particularly work hard many passenger board amenity always clean really impressed appreciative care attention given staff particularly prue blacked landed floor galley area instilled confidence calm friendly demeanor provided oxygen prue also kept check provided food regular supply water remainder flight impressed checked staff going flight even without incident would still recommend airline,Couple Leisure,economy class,,True,MEL,SOF,1,0,
777,5,asked good leg space seat,unknown,philippines,2019-12-18,asked good leg space seat offered seating today upcoming flight manila doha window even though platinum member economy cant exit row good leg space aisle seat,Solo Leisure,economy class,,True,MNL,DOH,0,12,2019
778,0,new ticket mistake,unknown,denmark,2019-12-18,denied check last name ö last name since letter ö exist english language friend booked ticket called customer service check recommend call center agent said spelt changed ticket ticket fact oe name check month flight tried check airport staff told u contact customer service could check u discussing customer service almost hour turned able help u friend allowed check board plane buy new ticket mistake waiting response six week informed pay new ticket,,economy class,,True,CPH,SIN,1,11,2019
779,9,gold standard,rajan parrikar,iceland,2019-12-16,copenhagen bombay transiting doha qatar business class onboard product gold standard industry cphdoh flight featured older business class layout dohbom qsuites qsuites justifiably get buzz accolade older business class arrangement nothing sneeze fact way prefer seems spacious less claustrophobic inflight service flight usual warm efficient one area qatar fall short customer service telephone online al mourjan lounge doha cannot handle traffic current level diminishes overall quality experience,Couple Leisure,business class,,True,CPH,BOM,1,12,2019
780,9,unknown,unknown,australia,2019-12-14,unknown,Couple Leisure,economy class,787 & 350,True,ZNZ,SYD,1,0,
781,10,top amongst airline,darayus patva,australia,2019-12-14,sydney nairobi via doha excellent check service inflight entertainment polite courteous staff cant find mistake passenger handling think reason top amongst airline,,economy class,A380,Unknown,SYD,NBO,1,12,2019
781,10,top amongst airline,darayus patva,australia,2019-12-14,sydney nairobi via doha excellent check service inflight entertainment polite courteous staff cant find mistake passenger handling think reason top amongst airline,,economy class,A330,Unknown,SYD,NBO,1,12,2019
782,7,good seat service poor standard food,michael schade,germany,2019-12-13,berlin doha usual chaos overcrowded tegel airport lounge well standard tiny departure gate waiting area could accommodate passenger comfortably usual high standard qsuite food disappointing tasting main course tiny serving unusual 6h flight business class overall good seat service poor standard food,Solo Leisure,business class,BOEING 773ER,True,NAN,NAN,0,12,2019
783,2,empowered move business,thomas ruttledge,united states,2019-12-13,doha kigali 787 miserable aircraft economy 333 seating amongst unpleasant video box seat take precious room alreadytight environment doh kgl exceptionally awful 787 boarded maintenance issue seat audio jack jammed object engineering responded removed asked try jack still didnt work air moved available aisle seat front bathroom headphone jack barely functioning complained flight service manager nice woman told empowered move business offered another middle seat even back purgatory 787 declined suffered horrible flight ife useless seat bumped used passenger arm rest waiting use bathroom,Solo Leisure,economy class,,True,NAN,NAN,0,12,2019
784,10,unknown,stylianos koureas,indonesia,2019-12-13,doha amsterdam business class delighted enter new q suite cabin amazing interior absolute privacy door close seat great service bottom crew heart seated 3k 4j best service life m harman mohammad attention detail genuine smile grooming immaculate kudos crew unforgettable experience,Solo Leisure,business class,,True,NAN,NAN,0,12,2019
785,9,overall good experience,stephan stegner,germany,2019-12-13,bangkok frankfurt via doha checkin due high number passenger bit timeconsuming staff average friendliness departure arrival punctual aircraft made good maintained impression entertainment extensive left nothing desired seat distance sufficiently good board catering airline like qatar airway reasonably well overall good experience,Solo Leisure,economy class,BOEING 777-300,True,BKK,FRA,1,11,2019
786,10,unknown,muhammad tahir hanif,pakistan,2019-12-08,maputo lahore via doha flew 8 time qatar airway service satisfactory crew kind respectful supportive answer every call take care food board tasty long fight give amenity kit even economy class well doha airport world class love every time best world opinion,,economy class,BOEING 787,Unknown,MPM,LHE,1,11,2019
786,10,unknown,muhammad tahir hanif,pakistan,2019-12-08,maputo lahore via doha flew 8 time qatar airway service satisfactory crew kind respectful supportive answer every call take care food board tasty long fight give amenity kit even economy class well doha airport world class love every time best world opinion,,economy class,A330,Unknown,MPM,LHE,1,11,2019
787,0,jfk spare,unknown,united states,2019-12-08,new york jfk doha 22 november leaving gate pilot informing needed returned repair defect kept seated gate plied drink snack late night flight ready nap qsuites frequent announcement effect mechanic trying fix defect announcement came disembark wait gate area update provided 90 minute already 1 announced part would flown doha repair could completed believable jfk airport spare boeing aircraft told exit terminal claim bag luggage claim line formed finding alternative flight phone number customer service went unanswered outside operating hour hotel accommodation provided local resident left sent email qatar airway cancelling journey could operate flight week credit card refunded price bought pricier ticket emirate flew morning paid hotel airport hotel night destination arrived late,Solo Leisure,business class,BOEING 777-300,True,JFK,DOH,0,0,
788,3,unknown,richard earl bradford,unknown,2019-12-06,london bangalore via doha first time flew qatar business class impressed q suite booked three trip however trip huge disappointment qsuite heathrow doha q suite doha bangalore leg instead old fashioned seat arrangement 1a given limited mobility made difficult step person 1b wifi working either flight return flight london qsuite doha gatwick fresh orange juice annoying get inconsistent service paying money ticket,Business,business class,,True,LON,BLR,1,11,2019
789,9,unknown,peter gill,unknown,2019-12-05,london kathmandu via doha enjoyed flight qatar airway cabin crew professional friendly food drink brilliant would like say keep guy thanks lot hospitality,Family Leisure,economy class,,False,LON,KTM,1,11,2019
790,10,polite courteous smiling,c meade,unknown,2019-12-05,perth munich via doha first time travelling solo cabin crew made sure need attended always polite courteous smiling great welcome 11 hr flight,,economy class,,True,PER,MUC,1,12,2019
791,9,unknown,unknown,unknown,2019-12-05,stockholm bangkok via doha always two good flight wit qatar punctual taking arriving early frist leg qsuite give best privacy business class far rather hard seat especially feel flat sleeping mattress would perfection qsuite rest nothing complain b777 old configuration less privacy definitely prefer seat sleeping comfort impeccable crew service flight entertainment system better airbus one preferred airline,Solo Leisure,business class,A350-1000,True,ARN,BKK,1,12,2019
791,9,unknown,unknown,unknown,2019-12-05,stockholm bangkok via doha always two good flight wit qatar punctual taking arriving early frist leg qsuite give best privacy business class far rather hard seat especially feel flat sleeping mattress would perfection qsuite rest nothing complain b777 old configuration less privacy definitely prefer seat sleeping comfort impeccable crew service flight entertainment system better airbus one preferred airline,Solo Leisure,business class,BOEING 777-300ER,True,ARN,BKK,1,12,2019
792,8,overall good airline,r kamin,united kingdom,2019-12-04,manchester islamabad via doha overall good airline queuing time checkin need sorting airline good one fly young daughter 18 month upset throughout flight however qatar airway responsive return journey one flight attendant kept brushing past way aisle one point point seemed apologetic brushed past check staff islamabad need training awful way speak,Family Leisure,economy class,,True,MAN,ISB,1,0,
793,7,unknown,unknown,unknown,2019-12-04,london heathrow doha boeing 777 seating 343 narrow aisle outward homeward bound flight configuration seat selected always seat allocated pad used crew welcoming showed nobody sitting next aisle seat rear aircraft two seat occupied eventually cabin crew allocated different seat apologised flight time fairly fullthe food average apparently menu changed every 3 month choose different meal one flight get thing twice clean aircraft efficient crew good reputation still make qatar airline choice reverse seat densification nonsense retain status,Business,nan,BOEING 777-300 ER,True,LHR,DOH,0,12,2019
794,3,unknown,malika,unknown,2019-11-24,sydney warsaw via doha service plane good lot space new aircraft even free wifi hour route dohawarsaw however sydney check slow checked online day need go baggage drop self check wait line baggage drop 15 hour passenger wanted check airport waited less time,Couple Leisure,economy class,A380,True,SYD,WAW,1,0,
795,6,unknown,j kaulen,denmark,,copenhagen tokyo via doha lady checked changed seat even though reserved advance tried convince seat good perhaps best economy turn one worst next toilet galley seat narrow even though advertise greater legroom cabin service average,Solo Leisure,economy class,A350-900,True,CPH,TYO,1,0,
796,0,service really good,samia saleem,unknown,2019-11-22,manchester lahore via doha flight manchester doha october 25th airline clean son 5 year old given meal time food given took time collect tray rest flight okay onward flight lahore wad good flight lahore doha delay explanation aircraft quite warm smaller dated arrived doha detail board gate go friendly qatar woman told u 40 min go gate e2 service really good clean space good cool temperature flight doha manchester good,Family Leisure,nan,A350,Unknown,MAN,LHE,1,11,2019
797,5,unable shower,c davlek,united kingdom,2019-11-20,3rd time qatar airway noticed experience deteriorating lounge gatwick airport poor quality arrival doha 2 hour freshen unable shower due large number transferring people 23 people waiting list shower way back jakarta shortage food choice available arrival doha delayed flight jakarta long waiting list shower luck,Couple Leisure,nan,BOEING 787,Unknown,DOH,LGW,0,11,2019
797,5,unable shower,c davlek,united kingdom,2019-11-20,3rd time qatar airway noticed experience deteriorating lounge gatwick airport poor quality arrival doha 2 hour freshen unable shower due large number transferring people 23 people waiting list shower way back jakarta shortage food choice available arrival doha delayed flight jakarta long waiting list shower luck,Couple Leisure,nan,A350,Unknown,DOH,LGW,0,11,2019
798,10,impressed qatar airway,chloe helbert,ireland,2019-11-20,unknown,Couple Leisure,economy class,,False,SYD,DUB,1,11,2019
799,9,staff attentive efficient,maharif,malaysia,2019-11-20,kuala lumpur doha returning paris via doha a333 a380 a350 respectively family kid age 246 a333 interior look okay entertainment system outdated difficult use a380 a350 wyy better entertainment system good staff attentive efficient always available friendly cabin clean food taste moderate activity booksbag offered kid leg room a350 bit tight front person lean back still reasonable fly,Family Leisure,economy class,A330,True,CDG,KUL,1,11,2019
799,9,staff attentive efficient,maharif,malaysia,2019-11-20,kuala lumpur doha returning paris via doha a333 a380 a350 respectively family kid age 246 a333 interior look okay entertainment system outdated difficult use a380 a350 wyy better entertainment system good staff attentive efficient always available friendly cabin clean food taste moderate activity booksbag offered kid leg room a350 bit tight front person lean back still reasonable fly,Family Leisure,economy class,A380,True,CDG,KUL,1,11,2019
799,9,staff attentive efficient,maharif,malaysia,2019-11-20,kuala lumpur doha returning paris via doha a333 a380 a350 respectively family kid age 246 a333 interior look okay entertainment system outdated difficult use a380 a350 wyy better entertainment system good staff attentive efficient always available friendly cabin clean food taste moderate activity booksbag offered kid leg room a350 bit tight front person lean back still reasonable fly,Family Leisure,economy class,A350,True,CDG,KUL,1,11,2019
800,0,service magnificent,muhammad suleiman,unknown,2019-11-19,manchester phnom penh via doha confusing booking procedure booked qatar airway website received booking told would need present credit card checkin leaving plenty time flight got impression booking might cancelled despite fact money already taken account first time experience airline arrived checkin desk hour flight stood waiting hour half checkin began tell needed go office debited repaid one pound fast channel security overcrowded took long time qas fault course boarding smooth plane service magnificent excellent flight good seat fa helpful polite throughout deboarding complicated wait board bus thought time doha airport relax underestimating delay going security second time getting departure gate kind chaos put another business class bus plane service impeccable arrival phnom penh used tunnel bus,Solo Leisure,business class,,True,NAN,NAN,0,0,
801,2,plane latam,michael schmidt,switzerland,2019-11-18,unknown,Business,business class,,True,DOH,BCN,0,11,2019
802,3,food selection good,derker,hong kong,2019-11-16,venice doha check venice quick effective quite late didnt wait seated prebooked seat quick look lounge impressed old airbus 222 configuration business class daytime 5hr 25 min flight comfort okay however seat hardly suitable sleeping food selection good staff excellent doha final destination recommend flight actually direct flight venice doha go destination use doha hub think twice whether worth detour,Business,nan,A330,True,VCE,DOH,0,10,2019
803,3,expected qsuite,derker,unknown,2019-11-16,hong kong doha check town check central convenient told reserved window seat checked twice seat reserved expected qsuite plane boeing 777 222 configuration business class complained friendly staff check cant much complained qatar airway say change plane according condition carriage boarding smooth flight left time seating old business class seat seating comfort limited could use sleeping entertainment usual movie program wifi available plane another surprise limited offer food main course breakfast scrambled egg chicken sausage main course cabin staff best friendly willing cope bit grumpy flight cant recommend qatar unless need non stop connection doha,,business class,BOEING 777-300,True,HKG,DOH,0,11,2019
804,0,ground crew could handled situation better,charles miranda,poland,2019-11-14,goa warsaw via doha qatar airway good airline lowered rating flight delayed feel ground crew could handled situation better however accommodate u good hotel hour away 5 hour leave back airport also kid group would expected make transit doha little comfortable considering transit time 5 hr 3 hr original time flown qatar airway good experience everytime one time really knackered begun journey 030 hr 1111 ended 34 hr later,Family Leisure,economy class,,False,GOI,WAW,1,11,2019
805,10,exceptionally good,davis,united kingdom,2019-11-14,heathrow tokyo via doha flown business many time mostly ba first time flown qatar airway wont last flight ba business heathrow doha qatar airway doha tokyo must say qatar airway flight made ba look like economy budget airline qsuite really exceptionally good plenty space good facility cant comment ground transit service food seating exceptionally good glad decided go route,Couple Leisure,business class,,True,LHR,TYO,1,10,2019
806,5,unknown,h marlann,sweden,2019-11-13,manila gothenburg via doha flight manila doha delayed five hour communicated delay occured experience onboard aircraft good missed connecting flight rebooked flight doha stockholm,Business,economy class,,Unknown,MNL,GOT,1,11,2019
807,2,aged business class,dercker,hong kong,2019-11-11,unknown,Business,nan,BOEING 777,True,DOH,HKG,0,10,2019
808,0,airport security allow,safyana younas,united kingdom,2019-11-10,unknown,,nan,,True,NAN,NAN,0,11,2019
809,0,unknown,fiona pini,australia,2019-11-08,melbourne munich via doha flew qatar first time europe normally fly emirate thought try qatar airway time glad first flight doha seat broken seat recliner would stay upright fun long 15 hour flight notified flight attendant beginning told look left wasnt expecting much economy fare 5 minute later flight attendant come back supervisor within minute seat fixed supervisor deyan exceptional fixing seat looked mother entire flight making sure comfortable checking u time time customer service skill outstanding mother raved qatar airway definitely use airline future travel thank deyan cabin crew looking u flight qatar airway great first experience,Family Leisure,economy class,,False,MEL,MUC,1,10,2019
810,9,unknown,debby de freitas,unknown,2019-11-08,unknown,Business,economy class,,False,NAN,NAN,0,10,2019
811,6,cabin crew excellent,pertti koulu,finland,2019-11-07,unknown,Family Leisure,economy class,,True,HEL,CGK,1,11,2019
812,1,unknown,lyndsey sutton,unknown,2019-11-07,mahe langkawi via doha 22 october flight couldnt land destination due bad weather understand meant arrive 5pm didnt arrive hotel another part malaysia 10pm informed 1130pm would get put next available flight morning told wake 3am 4am departure airport informed morning flight wasnt enough space flight due depart 430pm frustrated missed night hotel angry little sleep forced wake flight wasnt booked poor communication apology given trying best airport manager around manager dealing passenger flight informed missed shuttle back hotel wait another hour next shuttle arrived demanded pay put taxi refused asked phone qatar customer service line declined finally got airport flight delayed 2 hour didnt arrive destination 11pm night full day wasted arrived 31 hour scheduled arrive destination qatar airway refused provide compensation think disgraceful customer service personally never recommend book,Solo Leisure,economy class,,True,SEZ,LGK,1,10,2019
813,1,unknown,h dallen,australia,2019-11-06,unknown,Solo Leisure,economy class,,True,MEL,SVO,1,11,2019
814,6,get saver fare,graham cherry,unknown,2019-11-06,nice bangkok via doha travel regularly bangkok nice bangkok middle east used emirate several year time opted qatar keen experience best business class also saver fare caught attention nothing fault cabin seat layout service etc nice doha sector quiet comfortable journey outstanding lounge doha quiet area ideal four hour stopover lounge terminal 1 nice tawdry affair shared lounge emirate terminal 2 doha bangkok old boeing 777 2x2x2 seat configuration world best business class asked noisy boeing 777 uncomfortable seat get saver fare pyjama yes mattress,Solo Leisure,nan,A350-900,True,NCE,BKK,1,10,2019
814,6,get saver fare,graham cherry,unknown,2019-11-06,nice bangkok via doha travel regularly bangkok nice bangkok middle east used emirate several year time opted qatar keen experience best business class also saver fare caught attention nothing fault cabin seat layout service etc nice doha sector quiet comfortable journey outstanding lounge doha quiet area ideal four hour stopover lounge terminal 1 nice tawdry affair shared lounge emirate terminal 2 doha bangkok old boeing 777 2x2x2 seat configuration world best business class asked noisy boeing 777 uncomfortable seat get saver fare pyjama yes mattress,Solo Leisure,nan,BOEING 777-300ER,True,NCE,BKK,1,10,2019
815,3,boeing 787 seat cramped,oliver rice,united kingdom,2019-11-04,gatwick colombo via doha arrived check opened wait 1 hour 40 minute check throughout check staff checked passport asked flying visa rushed flight little time spare due delay check sat 30 min get board boeing 787 seat cramped flight entertainment broken ran first second choice meal doha colombo exlatam a350 seat better staff better got choice meal entertainment also worked,Couple Leisure,economy class,,True,LGW,CMB,1,10,2019
816,0,pleasant flight,gyan fernando,united kingdom,2019-11-01,doha dhaka boarding quick seat configuration 242 legroom good cabin service including drink fine food airhostesses charming helpful entertainment good good lhrdoh sector pleasant flight,Solo Leisure,nan,A330,True,DOH,DAC,0,10,2019
817,9,unknown,kessler,malaysia,2019-11-01,geneva penang via doha leg excellent staff attentive helpful layover doha long 9 hour didnt realise flight booked flight staff excellent always helpful unobtrusive cheerful food excellent like qatar airway generous hotcold towel like hot version better doha airport quite amazing much better mind dubai boarding geneva breeze doha doha zurich leg use new a350 little cabin privacy wall really nice unfortunately gva pen route yet meaning write excellent service food general quality airline flight year also good price business depending period layover shower little roomette quite spacious actually relax even sleep food drink business lounge doha excellent spacious various choice venue geneva lounge decent frill ok europe far flight qatar year excellent negative comment one suggestion wish classical music western eastern audio choice keep qatar airway,Solo Leisure,nan,,Unknown,NAN,NAN,0,10,2019
818,10,excellent flight,rajagopalan therat,kuwait,2019-10-30,bangkok kuwait via doha usual excellent flight cabin crew food beverage cleanness cabin toilet high standard especially cabin crew earth rate business class one best amongst airline,Solo Leisure,nan,BOEING 777-300ER,True,BKK,KWI,1,10,2019
819,6,fa polite friendly,melissa cristóvão,portugal,2019-10-29,lisbon tehran return via stop doha quality plane flawless flew two boeing 787 one a320 one a350 seat comfortable good legroom ground staff polite professional service mishap told customer service employee facebook chat first flight doha took around 2pm would lunch onboard didnt lunch boarding surprise lunch served onboard meal served 3 hour later tehran lisbon meal service started feeling weak recognized episode low blood sugar could fixed high carb snack pressed fa call button waited pressed waited one would come started pressing call button trying get attention fa cabin saw brought piece bread per request fa polite friendly first flight lisbon doha blessed extremely enthusiastic super friendly fa called chung really lit cabin positive energy time fa four flight professional ignoring call button unprofessional situation expected fa go check whats going,Solo Leisure,economy class,,True,LIS,IKA,1,10,2019
820,9,unknown,unknown,thailand,2019-10-26,bangkok edinburgh via doha taken advantage splendid price reduction one qatar airway occasional sale first surprise boeing 777 bkk obviously lastminute aircraft change 222 layout checked new q suite window seating odd numbered row face backwards never bothered traveling alone sense privacy superb meal wine excellent fa quietly attentive business class layout a350 virtually identical boeing 787 qatar airway used fly edinburgh route found airbus generally quite bit comfortable a330 final sector full 222 business class layout feel lot cramped even though seat fold flat bed still fa wonderfully attentive managed sleep way,,nan,BOEING 777,Unknown,BKK,EDI,1,10,2019
820,9,unknown,unknown,thailand,2019-10-26,bangkok edinburgh via doha taken advantage splendid price reduction one qatar airway occasional sale first surprise boeing 777 bkk obviously lastminute aircraft change 222 layout checked new q suite window seating odd numbered row face backwards never bothered traveling alone sense privacy superb meal wine excellent fa quietly attentive business class layout a350 virtually identical boeing 787 qatar airway used fly edinburgh route found airbus generally quite bit comfortable a330 final sector full 222 business class layout feel lot cramped even though seat fold flat bed still fa wonderfully attentive managed sleep way,,nan,A350,Unknown,BKK,EDI,1,10,2019
820,9,unknown,unknown,thailand,2019-10-26,bangkok edinburgh via doha taken advantage splendid price reduction one qatar airway occasional sale first surprise boeing 777 bkk obviously lastminute aircraft change 222 layout checked new q suite window seating odd numbered row face backwards never bothered traveling alone sense privacy superb meal wine excellent fa quietly attentive business class layout a350 virtually identical boeing 787 qatar airway used fly edinburgh route found airbus generally quite bit comfortable a330 final sector full 222 business class layout feel lot cramped even though seat fold flat bed still fa wonderfully attentive managed sleep way,,nan,A330,Unknown,BKK,EDI,1,10,2019
821,0,best business class seat,vanter,unknown,2019-10-23,sofia singapore via doha hit miss crew sofdoh a321 recliner business seat 22 configuration 5 hour flight comfortable option crew fantastic make everything possible great job food always good drink list decent although pommery brut favorite champagne negative leg responsive touch screen entertainment system second leg fabulous a3501000 roomy aircraft quiet featuring famous qsuite best business class seat ever flown especially enormous screen really impressive three restroom large business cabin somehow seem right although proactive crew providing slow service forgot serve ordered wine asked 23 time brought seat never experienced service flying qatar airway far,Solo Leisure,business class,,True,SOF,SIN,1,10,2019
822,1,compensation offered,fabrizio speziale,unknown,2019-10-20,kolkata doha 7 september flight scheduled depart 0330 delayed nobody informed passenger flight delayed 8am morning obliged spend night airport delay announced qatar staff kolkata airport show late staff 12am offered u spend night hotel arrived obviously late received next morning 1022 message phone flight delayed ie flight already left wrote letter complaint airline compensation offered requested diabetic meal forgot,Business,economy class,,True,CCU,CDG,1,9,2019
823,9,unknown,heany,australia,2019-10-18,perth birmingham via doha qatar airway exceptional food service first flight q suite wow cant wait return flight doha lounge overcrowded toilet inadequate queue men toilet unheard,Solo Leisure,business class,BOEING 777-300,True,PER,BHX,1,10,2019
823,9,unknown,heany,australia,2019-10-18,perth birmingham via doha qatar airway exceptional food service first flight q suite wow cant wait return flight doha lounge overcrowded toilet inadequate queue men toilet unheard,Solo Leisure,business class,BOEING 787,True,PER,BHX,1,10,2019
824,10,whole trip awesome,nageswar rao bandari,india,2019-10-17,whole trip chennai copenhagen return via doha awesome qatar airway airline got good nature ground cabin staff amazed interacting staff fly time keep good work continue,,economy class,,Unknown,CPH,MAA,1,9,2019
825,2,disregarded issue,garvin,united states,2019-10-17,unknown,Couple Leisure,economy class,,True,DPS,CDG,1,10,2019
826,8,took u 40 minute reach counter,khang chuen choo,singapore,2019-10-15,istanbul singapore via doha qatar airway performed online check went web check baggage drop lane drop baggage took u 40 minute reach counter 1 family passenger lot bag another couple front u lane left serf nononline check passenger way faster lane engaged customer service officer able tell u reason web check baggage drop slower non online check lane another counter staff handling couple front u got frustrated slightly raised voice manager headed ease situation still unable provide reason inefficiency web check baggage dropping lane inflight service great food onboard expectation,Family Leisure,economy class,,True,IST,SIN,1,10,2019
827,8,unknown,r sanyal,united states,2019-10-13,flight schedule cabin crew mostly south asia plus food large selection film region gave flight distinctive south asian vibe many passenger appeared subcontinent cabin service high standard flight attendant tend chatty dreamliner business class cabin ccudoh segment bright big beautiful got hour sleep excellent breakfast plane landing parked remote location air conditioned bus arrived promptly dedicated biz class passenger transit time doha little hour feel could make use lounge dohjfk leg airline vaunted qsuites felt enclosed though cozy cabin looked congested crowded large collection film video library including several hollywood classic meal service demand something dont care menu list extensive pajama sandal toiletry kit provided flight shorter ccudoh flight toilet kit cheaper version seat biggest surprise qatar airway discontinued inflight duty free shopping something always enjoyed air travel really nothing fault airline except occasion flight attendant reminded bring jacket arrival eager stow away boarded arrival jfk terminal 8 immigration check relatively fast terminal time ccujfk route airline holding well generally high quality competition cathay pacificdragon,Solo Leisure,business class,,True,CCU,JFK,1,0,
828,9,unknown,larson,united kingdom,2019-10-12,perth edinburgh via doha found qsuites spacious crew professional enjoyed champagne cuisineunfortunately left phone board despite reporting within 20 minute could foundthe layover doha relaxing however hard find seat lounge onward flight also good would definitely fly qatar next trip,Couple Leisure,business class,,True,NAN,NAN,0,0,
829,3,gluten free meal worst,margaret schirmer,australia,2019-10-08,amman sydney via doha seating comfortable staff usually helpful however staff checked ticket got check everyone required board zone entertainment disappointing pre ordered gluten free meal worst usually inedible one sandwich stale eat muesli bar could airline supply coeliacs edible gluten free dairy free meal travelling qatar airway,Couple Leisure,economy class,,True,AMM,SYD,1,9,2019
830,0,care customer,p kartil,unknown,2019-10-07,helsinki bali via doha amazing flight qatar airway helsinki doha went great service good stuff really helpful nice flight smooth change flight doha final destination bali lot people came flight overbooked announced fiance name got upgraded business class amazing surprise since 9 hour flight business class something special service food spot second flight realized left personal item last flight wifi board could write lost found found item kept sending back service care customer literally problem trip experience also would definitely recommend earning mile qatar airway reason got upgraded cause quite mile,Couple Leisure,economy class,,True,HEL,DPS,1,10,2019
831,0,service really slow,elaine loh,netherlands,2019-10-05,unknown,Business,business class,,True,DOH,AMS,0,10,2019
832,1,unknown,mohd hamadsan,canada,2019-10-04,montreal multan via doha booked connecting flight qatar airway web site booked toronto via montreal porter airline 7 pm montreal doha 9 pm doha multan pakistan qatar air flight nightmare started friday 5pm wife arrived airport 2 hour flight told porter cancelled original flight 700 pm booked u hour earlier without notifying resulted u missing flight even though received boarding pass gate 15 min flight departure according cant board luggage 4 piece wife 20kg per allowed limit 23kg bring flight weight limit promised book u next available flight 800 late next flight leaving montreal 900 pm told receive call 23 hour never happened even though waited night hear ended missing montreal doha flight tried call qatar helpline closed called qatar head office told system tell show according term condition buy new ticket cost 3500 two people one way even though boarding pass fault told u take porter called porter told u since never booked office cant help u contact qatar airway stayed night continuously trying get hold someone qatar avail next day went porter head office made huge scene whole different story least 10 hour bickering arguing around 10 pm saturday accepted mistake told u go home contacted qatar got u flight sunday without charge whole 2 day later 10 hour layover doha reach pakistan whole episode stressful qatar airway help,Family Leisure,economy class,,True,YUL,MUX,1,8,2019
833,2,terrible policy hand luggage,garber,united states,2019-09-30,tbilisi doha terrible check policy hand luggage ive never problem carryons weight im business class bag contain clothes blanket pillow toiletry backpack computer equipment flying tbilisi would make exception buy another suitcase rarely see airline weight limit,Business,business class,,True,TBS,DOH,0,9,2019
834,0,outstanding service food,elaine loh,netherlands,2019-09-29,amsterdam doha outstanding service food q suite comfortable privacy large selection movie including world movie make flight enjoyable even massage mode chair backward facing feel differently definitely fly qatar airway,Business,nan,,Unknown,AMS,DOH,0,9,2019
835,10,wonderful long flight,ali parvini,unknown,2019-09-29,doha sydney october 2018 family qsuite seat surrounded partition private space seat big screen entertainment service food beverage excellent experienced wonderful long flight,Family Leisure,business class,,True,NAN,NAN,0,10,2018
836,1,bitterly disappointed,c johnson,united kingdom,2019-09-28,kuwait manchester via doha bitterly disappointed service qatar airway lounge disappointing staff lounge discourteous flying first would expect better flying doha twice last month similar experience ill sticking emirate future travel,Business,first class,BOEING 777,True,NAN,NAN,0,0,
837,1,customer service disappointing,brian royce,south africa,2019-09-28,extremely disappointed airline website something last minute changed layover 13 hour customer service disappointing flight comfortable 2 beverage served entire 10 hour flight counter people stewardess seemed major power issue demanding paperwork necessary enter country leave,Family Leisure,economy class,,True,CPT,MAN,1,0,
838,2,delayed 4 hour,gerrel,unknown,2019-09-26,unknown,,nan,,True,CMB,MAD,1,8,2019
839,4,lift game qatar airway,j brien,united kingdom,2019-09-25,unknown,Business,business class,BOEING 777,False,HKG,DOH,0,9,2019
840,0,gave special care,simon marson,united states,2019-09-25,three child travelled dar e salaam houston via doha qatar airway special service unaccompanied minor hug kiss told u travelling parent always travel qatar airway special service allow u gowe treated like king queen parent hearing child else gave special care felt obliged let known parent people honest thankful done never done review anything always dont like touched im thankful worn heart,Family Leisure,nan,,True,NAN,NAN,0,0,
841,10,thank perfect service,unknown,unknown,2019-09-23,kiev seoul via doha qatar airway thank perfect service first experience qatar airway trip comfortable safe airport aircraft crew high level,Solo Leisure,economy class,,True,KBP,ICN,1,0,
842,1,must life,zied hedhiri,tunisia,2019-09-22,tunis doha flying qatar airway a350 business class something must life everything expected boarding cabin flight entertainment finest detail doha luggage came late even priority sticker damaged didnt realize reading hotel room wrote claim baggage service even sending many reminder get reply investigating,Business,business class,A350,Unknown,TUN,DOH,0,9,2019
843,4,could check early,unknown,greece,,athens manila via doha due early morning domestic flight arrived athens 1000 proceeded look see could check early long complicated flight thing checked however check staff refused check document asked return afternoon approximately 1600 hour check 1530 hour predicted airline staff never seen case like mine check last person checked person charge afternoon apologized long wait damaged done,Solo Leisure,economy class,,True,ATH,MNL,1,9,2019
844,0,seat good wellmaintained,gartin,unknown,2019-09-21,amsterdam doha airline offer reasonable price seat good wellmaintained toilet clean food drink generously served also opportunity fly business class surprised airline voted one best,Solo Leisure,nan,,True,AMS,DOH,0,0,
